date_notif,zone_sante,province,sexe_norm,tranche_age,n_alertes,n_suspects,n_suspects_lien_epi,n_preleves,n_recus,n_analyses,n_echantillons_valides,n_confirmes,n_deces,n_deces_suspects,n_deces_confirmes,n_gueri
2026-05-15T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,2,2,0,2,2,2,2,2,0,0,0,0
2026-05-15T00:00:00.000000,Rwampara,Ituri,Feminin,45-64 ans,1,1,0,0,0,0,0,0,0,0,0,0
2026-05-15T00:00:00.000000,Rwampara,Ituri,Masculin,15-24 ans,2,2,0,1,1,1,1,1,0,0,0,0
2026-05-15T00:00:00.000000,Rwampara,Ituri,Masculin,25-44 ans,1,1,0,1,1,1,1,0,0,0,0,0
2026-05-15T00:00:00.000000,nk Goma,nk Nord Kivu,Feminin,25-44 ans,1,1,1,0,0,0,0,0,0,0,0,0
2026-05-16T00:00:00.000000,Aungba,Ituri,Masculin,45-64 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-16T00:00:00.000000,Boga,Ituri,Masculin,65+ ans,1,1,0,1,1,1,1,0,0,0,0,0
2026-05-16T00:00:00.000000,Bunia,Ituri,Feminin,15-24 ans,1,1,0,0,0,0,0,0,0,0,0,0
2026-05-16T00:00:00.000000,Bunia,Ituri,Feminin,25-44 ans,2,2,0,1,1,1,1,1,0,0,0,0
2026-05-17T00:00:00.000000,Nyankunde,Ituri,Masculin,25-44 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-17T00:00:00.000000,Rwampara,Ituri,Feminin,15-24 ans,2,2,2,1,1,1,1,0,0,0,0,0
2026-05-17T00:00:00.000000,Rwampara,Ituri,Feminin,25-44 ans,6,5,0,5,5,5,5,1,1,1,0,0
2026-05-16T00:00:00.000000,Bunia,Ituri,Feminin,45-64 ans,3,3,0,2,2,2,2,2,0,0,0,0
2026-05-16T00:00:00.000000,Bunia,Ituri,Masculin,25-44 ans,5,5,0,2,2,2,2,1,2,2,0,0
2026-05-16T00:00:00.000000,Drodro,Ituri,Masculin,25-44 ans,1,1,0,1,1,1,1,0,0,0,0,0
2026-05-16T00:00:00.000000,Logo,Ituri,Feminin,0-4 ans,1,1,1,1,1,1,1,0,1,1,0,0
2026-05-16T00:00:00.000000,Mangala,Ituri,Masculin,25-44 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-16T00:00:00.000000,Mongbwalu,Ituri,Feminin,15-24 ans,2,2,1,1,1,1,0,0,0,0,0,0
2026-05-16T00:00:00.000000,Mongbwalu,Ituri,Feminin,25-44 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-16T00:00:00.000000,Mongbwalu,Ituri,Feminin,5-14 ans,2,2,0,2,2,2,2,2,0,0,0,0
2026-05-16T00:00:00.000000,Mongbwalu,Ituri,Masculin,15-24 ans,1,1,0,1,1,1,1,1,0,0,0,0
2026-05-16T00:00:00.000000,Mongbwalu,Ituri,Masculin,45-64 ans,2,2,1,2,2,2,2,2,1,0,1,0
2026-05-16T00:00:00.000000,Mongbwalu,Ituri,Masculin,5-14 ans,1,1,1,1,1,1,1,1,1,0,1,0
2026-05-17T00:00:00.000000,Rwampara,Ituri,Feminin,5-14 ans,2,2,0,1,1,1,1,1,1,1,0,0
2026-05-17T00:00:00.000000,Rwampara,Ituri,Feminin,65+ ans,1,1,0,1,1,1,1,1,0,0,0,0
